888	NM_181809	chr1	+	39729904	39768128	39730250	39764057	7	39729904,39749432,39750014,39759634,39760661,39761265,39763907,	39730584,39749622,39750163,39759829,39760741,39761376,39768128,	0	BMP8A	cmpl	cmpl	0,1,2,1,1,0,0,
890	NM_001720	chr1	-	39995440	40027120	39998677	40026744	7	39995440,40001350,40001970,40002881,40012566,40013107,40026410,	39998827,40001461,40002050,40003076,40012715,40013297,40027120,	0	BMP8B	cmpl	cmpl	0,0,1,1,2,1,0,
138	NM_014482	chr2	-	68941551	68952153	68946266	68951994	2	68941551,68951660,	68947207,68952153,	0	BMP10	cmpl	cmpl	1,0,
266	NM_001204	chr2	+	202949294	203140719	202950442	203132914	13	202949294,203037776,203040486,203086686,203087855,203091789,203093054,203103761,203105552,203115278,203125683,203128219,203132663,	202950518,203037947,203040657,203086797,203087947,203092020,203093169,203103922,203105700,203115415,203125856,203129499,203140719,	0	BMPR2	cmpl	cmpl	0,1,1,1,1,0,0,1,0,1,0,2,1,
149	NM_017593	chr4	+	79916555	80019618	79916721	80019107	14	79916555,79966214,79973759,79982562,79985105,79987365,79991101,79999761,80001566,80005734,80010960,80012027,80012791,80018911,	79916899,79966333,79973865,79982705,79985227,79987447,79991234,79999865,80001646,80005898,80011238,80012126,80012976,80019618,	0	BMP2K	cmpl	cmpl	0,1,0,1,0,2,0,1,0,2,1,0,0,2,
149	NM_198892	chr4	+	79916555	80052365	79916721	80052211	16	79916555,79966214,79973759,79982562,79985105,79987365,79991101,79999761,80001566,80005734,80010960,80012027,80012791,80018911,80027351,80050787,	79916899,79966333,79973865,79982705,79985227,79987447,79991234,79999865,80001646,80005898,80011238,80012126,80012976,80019069,80027462,80052365,	0	BMP2K	cmpl	cmpl	0,1,0,1,0,2,0,1,0,2,1,0,0,2,1,1,
151	NM_001201	chr4	+	82171142	82197803	82171462	82193714	3	82171142,82185915,82193522,	82171778,82186826,82197803,	0	BMP3	cmpl	cmpl	0,1,0,
164	NM_001203	chr4	+	95898150	96298624	96244598	96294847	13	95898150,96016004,96136213,96244581,96254893,96255858,96263983,96265156,96270035,96271388,96288921,96292816,96294721,	95898242,96016074,96136308,96244741,96254996,96255961,96264080,96265295,96270228,96271686,96289097,96292947,96298624,	0	BMPR1B	cmpl	cmpl	-1,-1,-1,0,2,0,1,2,0,1,2,1,0,
164	NM_001256793	chr4	+	96191852	96298624	96191873	96294847	11	96191852,96244581,96254893,96255858,96263983,96265156,96270035,96271388,96288921,96292816,96294721,	96191946,96244741,96254996,96255961,96264080,96265295,96270228,96271686,96289097,96292947,96298624,	0	BMPR1B	cmpl	cmpl	0,1,2,0,1,2,0,1,2,1,0,
164	NM_001256792	chr4	+	96136405	96298624	96244598	96294847	11	96136405,96244581,96254893,96255858,96263983,96265156,96270035,96271388,96288921,96292816,96294721,	96136558,96244741,96254996,96255961,96264080,96265295,96270228,96271686,96289097,96292947,96298624,	0	BMPR1B	cmpl	cmpl	-1,0,2,0,1,2,0,1,2,1,0,
1316	NR_121610	chr4	-	95883841	95897707	95897707	95897707	3	95883841,95895003,95897567,	95884268,95895079,95897707,	0	BMPR1B-AS1	unk	unk	-1,-1,-1,
1319	NM_001256794	chr4	+	96231664	96298624	96244598	96294847	11	96231664,96244581,96254893,96255858,96263983,96265156,96270035,96271388,96288921,96292816,96294721,	96231801,96244741,96254996,96255961,96264080,96265295,96270228,96271686,96289097,96292947,96298624,	0	BMPR1B	cmpl	cmpl	-1,0,2,0,1,2,0,1,2,1,0,
80	NM_001718	chr6	+	7671330	7826960	7672187	7825575	7	7671330,7790371,7806682,7807532,7824305,7825222,7825425,	7672851,7790564,7806831,7807730,7824382,7825333,7826960,	0	BMP6	cmpl	cmpl	0,1,2,1,1,0,0,
126	NM_021073	chr6	-	55726409	55848347	55728289	55847622	7	55726409,55731761,55733213,55746805,55767035,55792411,55847132,	55728439,55731872,55733290,55747000,55767184,55792604,55848347,	0	BMP5	cmpl	cmpl	0,0,1,1,2,1,0,
126	NM_001329756	chr6	-	55726409	55848347	55728419	55847622	5	55726409,55746805,55767035,55792411,55847132,	55728439,55747000,55767184,55792604,55848347,	0	BMP5	cmpl	cmpl	1,1,2,1,0,
126	NM_001329754	chr6	-	55726409	55848347	55728289	55847622	6	55726409,55733213,55746805,55767035,55792411,55847132,	55728439,55733290,55747000,55767184,55792604,55848347,	0	BMP5	cmpl	cmpl	0,1,1,2,1,0,
105	NM_133468	chr7	+	33911047	34162009	33911750	34159410	16	33911047,33911610,33912954,33943425,33972615,33976465,33980838,34052442,34057997,34061299,34064195,34068138,34084993,34091892,34149366,34159228,	33911281,33911883,33913040,33943525,33972698,33976556,33980921,34052542,34058107,34061440,34064300,34068184,34085323,34092229,34149497,34162009,	0	BMPER	cmpl	cmpl	-1,0,1,0,1,0,1,0,1,0,0,0,1,1,2,1,
753	NR_033403	chr8	+	22078597	22125785	22125785	22125785	20	22078597,22087059,22089600,22089990,22090381,22091309,22093162,22093825,22105506,22107515,22107902,22108181,22108919,22110137,22110697,22115260,22120311,22120760,22122902,22125051,	22079011,22087173,22089771,22090108,22090597,22091415,22093287,22093941,22105609,22107632,22108048,22108377,22109045,22110298,22110878,22115386,22120439,22120974,22123153,22125785,	0	BMP1	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
753	NR_033404	chr8	+	22078597	22114941	22114941	22114941	16	22078597,22087059,22089600,22089990,22090381,22091309,22093162,22093825,22105506,22107515,22107902,22108181,22108919,22110137,22110697,22114575,	22079011,22087173,22089771,22090108,22090597,22091415,22093287,22093941,22105609,22107632,22108048,22108377,22109045,22110298,22110878,22114941,	0	BMP1	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
753	NM_001199	chr8	+	22078597	22114941	22078863	22114661	16	22078597,22087059,22089600,22089990,22090418,22091309,22093162,22093825,22105506,22107515,22107902,22108181,22108919,22110137,22110697,22114575,	22079011,22087173,22089771,22090108,22090597,22091415,22093287,22093941,22105609,22107632,22108048,22108377,22109045,22110298,22110878,22114941,	0	BMP1	cmpl	cmpl	0,1,1,1,2,1,2,1,0,1,1,0,1,1,0,1,
753	NM_006129	chr8	+	22078597	22125785	22078863	22125186	20	22078597,22087059,22089600,22089990,22090418,22091309,22093162,22093825,22105506,22107515,22107902,22108181,22108919,22110137,22110697,22115260,22120311,22120760,22122902,22125051,	22079011,22087173,22089771,22090108,22090597,22091415,22093287,22093941,22105609,22107632,22108048,22108377,22109045,22110298,22110878,22115386,22120439,22120974,22123153,22125785,	0	BMP1	cmpl	cmpl	0,1,1,1,2,1,2,1,0,1,1,0,1,1,0,1,1,0,1,0,
971	NM_005448	chrX	+	50670474	50676381	50670523	50676347	2	50670474,50675496,	50670851,50676381,	0	BMP15	cmpl	cmpl	0,1,
157	NM_004329	chr10	+	88506375	88674925	88625755	88673456	13	88506375,88588601,88625603,88639798,88641863,88649530,88649763,88661976,88666870,88668908,88671256,88673112,88673330,	88506656,88588716,88625822,88639961,88641966,88649627,88649863,88662121,88667063,88669206,88671432,88673243,88674925,	0	BMPR1A	cmpl	cmpl	-1,-1,0,1,2,0,1,2,0,1,2,1,0,
