99	NM_002713	chr1	+	28029911	28050770	28046160	28049544	6	28029911,28031853,28037796,28042283,28046125,28049190,	28030464,28031914,28037950,28042428,28046190,28050770,	0	PPP1R8	cmpl	cmpl	-1,-1,-1,-1,0,0,
99	NM_138558	chr1	+	28029911	28050770	28040266	28049544	7	28029911,28031853,28037796,28040111,28042283,28046125,28049190,	28030344,28031914,28037950,28040332,28042428,28046190,28050770,	0	PPP1R8	cmpl	cmpl	-1,-1,-1,0,0,1,0,
99	NM_014110	chr1	+	28029838	28050770	28029933	28049544	7	28029838,28031853,28037796,28040111,28042283,28046125,28049190,	28029989,28031914,28037950,28040332,28042428,28046190,28050770,	0	PPP1R8	cmpl	cmpl	0,2,0,1,0,1,0,
104	NM_001135255	chr1	+	32889335	32924399	32889494	32917893	12	32889335,32890104,32895614,32906412,32906926,32907159,32907418,32907673,32910637,32910829,32910978,32917827,	32889510,32890249,32895760,32906586,32907042,32907320,32907545,32907751,32910714,32910887,32911089,32924399,	0	RBBP4	cmpl	cmpl	0,1,2,1,1,0,2,0,0,2,0,0,
104	NM_001135256	chr1	+	32889545	32924399	32890190	32917893	12	32889545,32890101,32895614,32906412,32906926,32907159,32907418,32907673,32910637,32910829,32910978,32917827,	32889620,32890249,32895760,32906586,32907042,32907320,32907545,32907751,32910714,32910887,32911089,32924399,	0	RBBP4	cmpl	cmpl	-1,0,2,1,1,0,2,0,0,2,0,0,
104	NM_005610	chr1	+	32889335	32924399	32889494	32917893	12	32889335,32890101,32895614,32906412,32906926,32907159,32907418,32907673,32910637,32910829,32910978,32917827,	32889510,32890249,32895760,32906586,32907042,32907320,32907545,32907751,32910714,32910887,32911089,32924399,	0	RBBP4	cmpl	cmpl	0,1,2,1,1,0,2,0,0,2,0,0,
116	NM_021639	chr1	-	45865562	45924889	45866514	45897346	13	45865562,45867834,45868740,45871747,45872354,45878468,45880685,45892801,45893448,45897286,45898442,45923834,45924670,	45866667,45867937,45868865,45871906,45872495,45878662,45880758,45893088,45893578,45897401,45899484,45923879,45924889,	0	GPBP1L1	cmpl	cmpl	0,2,0,0,0,1,0,1,0,0,-1,-1,-1,
188	NR_003955	chr1	+	120962432	121015209	121015209	121015209	8	120962432,120999830,121000251,121005548,121007957,121009084,121011467,121012096,	120962780,121000017,121000340,121005676,121008234,121009118,121011522,121015209,	0	EMBP1	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,
264	NM_001331029	chr1	+	200584452	200824320	200584602	200816311	25	200584452,200652537,200658370,200661316,200662790,200664605,200666481,200667230,200670406,200673571,200676456,200678197,200680796,200684739,200724283,200728864,200731043,200731320,200732531,200794627,200798528,200800193,200803528,200804897,200816224,	200584893,200652668,200658489,200661476,200662935,200664680,200666561,200667370,200670519,200673775,200676539,200678323,200680979,200684922,200724374,200729068,200731233,200731433,200732573,200794644,200798673,200800298,200803582,200804948,200824320,	0	PPP1R12B	cmpl	cmpl	0,0,2,1,2,0,0,2,1,0,0,2,2,2,2,0,0,1,0,0,2,0,0,0,0,
264	NM_001167858	chr1	+	200584452	200673993	200584602	200673591	9	200584452,200652537,200658370,200661316,200662790,200664605,200666481,200667230,200673571,	200584893,200652668,200658489,200661476,200662935,200664680,200666561,200667370,200673993,	0	PPP1R12B	cmpl	cmpl	0,0,2,1,2,0,0,2,1,
264	NM_001197131	chr1	+	200775864	200824320	200775890	200816311	7	200775864,200794627,200798528,200800193,200803528,200804897,200816224,	200775992,200794644,200798673,200800298,200803582,200804948,200824320,	0	PPP1R12B	cmpl	cmpl	0,0,2,0,0,0,0,
